node, chunk
314295,3
315492,6
315563,1
315576,1
320037,9
321084,2
321398,2
321403,7
322563,7
322582,2
323312,1
323313,1
323379,3
325343,2
325643,11
326083,3
326594,4
327003,5
328815,2
329620,3
330464,3
331036,3
331333,10
331713,4
332384,11
333673,2
334116,10
334908,6
335091,2
335395,2
335469,9
336983,3
337173,2
337444,2
337641,5
339999,3
340076,3
342381,2
343691,1
345155,2
345164,2
345258,2
345573,2
346610,4
346838,11
347359,11
348688,11
351381,4
354439,11
355587,11
355685,8
357074,2
358128,3
359927,1
360224,2
361644,5
362091,4
363769,2
364589,2
365059,5
366454,2
367368,2
367763,0
369605,2
369639,5
370040,7
370605,11
371907,2
371916,2
371919,2
372326,2
373995,5
374264,1
374458,11
375764,7
375941,0
376895,7
376913,3
379532,3
381031,2
381198,2
381881,2
382315,2
386614,8
390379,7
391180,3
391341,2
395515,4
395520,4
395565,4
395577,4
396416,4
396775,6
400187,10
405009,10
407821,0
409849,7
411798,4
411963,9
414846,1
414876,1
415028,2
415978,3
417921,6
419612,3
419690,2
421273,4
422203,5
423510,9
424585,3
425635,2
425643,2
428466,8
432164,7
433405,6
433684,6
433685,6
435138,7
435218,7
437484,11
437488,10
437493,11
438506,11
439324,3
439328,3
439704,2
441047,10
441215,3
441366,7
441696,2
441894,2
441921,4
441929,4
443853,4
444401,4
445787,8
447135,3
447833,10
448029,6
449367,2
449384,2
449594,2
450177,2
451385,2
452646,3
452695,4
454923,4
456388,2
456900,4
458187,2
458190,2
458196,2
460826,4
461220,2
461239,2
461245,2
462259,1
463165,2
466727,11
467030,2
467774,10
468512,2
468822,1
469796,3
470939,11
471704,4
471713,2
472368,0
473156,0
473952,4
473964,2
478635,2
481813,2
482537,3
483260,11
483950,11
486640,4
488313,2
491861,3
493209,4
494514,3
495162,2
495550,5
499227,1
500656,4
506608,11
507594,2
516756,4
519845,2
520822,4
520884,10
522836,10
522848,10
527827,8
531929,4
535359,4
538958,10
543379,4
544895,10
545262,2
547948,2
548553,11
552050,11
555264,2
559131,11
559696,1
561572,4
564181,3
568069,1
569040,1
569046,1
571890,2
573617,10
576317,1
