node, chunk, filesize
171916,1,53708337
171917,1,149673596
171918,1,31554223
172413,4,56080349
172684,4,56424865
172689,4,42074541
172690,4,53240047
173247,2,826469237
173321,2,246544694
173339,2,171172821
174628,3,418830029
174822,1,300186109
175120,4,65331087
175131,4,57551368
175529,4,55099524
175774,5,243829502
175797,5,505724885
175798,5,812249560
176013,4,191451427
176015,4,150772430
176024,4,53624703
176039,4,45983521
176057,4,33958516
176066,4,224057651
176074,4,61659086
176938,4,42344649
176943,4,53035052
177089,8,115651316
177155,4,454552317
178035,7,249001359
178133,6,857524522
179674,1,306528290
179676,3,171576426
181096,4,211763063
181099,4,48966929
181119,4,48395128
181461,2,997983867
181472,2,1941759935
181631,4,82819258
181839,4,49853243
182669,5,7971018
182895,4,42646262
182897,4,56849587
183150,2,345589292
183418,7,32903372
183661,5,212427635
183749,5,25859662
184059,7,105593721
185453,5,15983955
185578,3,5838038
186443,4,194328110
186474,5,153594596
186990,5,10275228
187106,4,51910188
187382,4,29729551
187383,4,54301474
187437,4,73047692
187451,4,71699668
187685,8,19330400
187695,8,406536518
187706,8,314016838
188133,2,286801683
188135,2,303309973
188136,2,206923527
188344,4,34522566
188379,4,36151658
188791,2,350485665
189058,5,4488804
189258,3,102417134
189513,8,805389473
189839,8,56697936
189913,1,1975404191
189979,3,450752691
190295,4,56996379
190331,1,454496091
190356,1,577612364
190661,4,54558747
190676,4,361711500
191398,1,659919125
191418,1,930612063
191431,5,190066460
191816,5,131361049
192404,5,202609610
194338,4,50342887
194366,5,700986883
195168,8,1675454736
195172,8,734108353
195615,2,391489384
195821,2,380261579
195883,8,219874261
197043,8,313338360
197152,8,130555981
198433,3,46016238
198635,3,1764660592
198719,3,156182867
198806,4,46397956
198938,4,492758297
198940,4,81675981
199890,3,56993124
199937,7,565984647
200407,7,77259661
201329,4,61579469
201502,3,243330089
201766,8,1107889295
202137,8,1223534644
202456,8,160614847
202533,8,711420
202808,7,59473067
202946,4,38285794
203781,1,1948386668
203782,1,705896190
204567,3,89251244
205083,0,34151043
205130,2,409136897
207598,5,2149471
207624,7,252926955
207636,7,93999287
207650,7,1106104925
207806,7,646705034
208069,4,72059138
208073,4,53593694
208333,2,621829303
208481,7,21427211
208972,5,16794300
208979,7,673067126
209166,5,495958782
209618,4,174658100
209779,4,49513655
210139,2,649676339
